Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-05-01,48.58,48.875,48.4,48.655,36064809.0,0.0,1.0,48.58,48.875,48.4,48.655,36064809.0
2015-04-30,48.7,49.54,48.6,48.64,63162307.0,0.0,1.0,48.7,49.54,48.6,48.64,63162307.0
2015-04-29,48.72,49.31,48.5,49.06,47109075.0,0.0,1.0,48.72,49.31,48.5,49.06,47109075.0
2015-04-28,47.78,49.21,47.7,49.15,58948707.0,0.0,1.0,47.78,49.21,47.7,49.15,58948707.0
2015-04-27,47.23,48.13,47.22,48.03,58059439.0,0.0,1.0,47.23,48.13,47.22,48.03,58059439.0
2015-04-24,45.66,48.14,45.65,47.87,127372412.0,0.0,1.0,45.66,48.14,45.65,47.87,127372412.0
2015-04-23,42.89,43.61,42.8,43.34,43615762.0,0.0,1.0,42.89,43.61,42.8,43.34,43615762.0
2015-04-22,42.67,43.13,42.55,42.985,24505203.0,0.0,1.0,42.67,43.13,42.55,42.985,24505203.0
2015-04-21,43.0,43.15,42.53,42.635,25691413.0,0.0,1.0,43.0,43.15,42.53,42.635,25691413.0
2015-04-20,41.73,43.17,41.68,42.9,44930413.0,0.0,1.0,41.73,43.17,41.68,42.9,44930413.0
2015-04-17,41.67,41.74,41.16,41.62,41590031.0,0.0,1.0,41.67,41.74,41.16,41.62,41590031.0
2015-04-16,41.95,42.34,41.82,42.16,22244977.0,0.0,1.0,41.95,42.34,41.82,42.16,22244977.0
2015-04-15,41.76,42.46,41.68,42.255,26849867.0,0.0,1.0,41.76,42.46,41.68,42.255,26849867.0
2015-04-14,41.8,42.03,41.39,41.65,23873834.0,0.0,1.0,41.8,42.03,41.39,41.65,23873834.0
2015-04-13,41.4,42.06,41.39,41.76,28468765.0,0.0,1.0,41.4,42.06,41.39,41.76,28468765.0
2015-04-10,41.63,41.95,41.41,41.72,27677200.0,0.0,1.0,41.63,41.95,41.41,41.72,27677200.0
2015-04-09,41.25,41.62,41.25,41.48,25546762.0,0.0,1.0,41.25,41.62,41.25,41.48,25546762.0
2015-04-08,41.46,41.69,41.04,41.42,24225715.0,0.0,1.0,41.46,41.69,41.04,41.42,24225715.0
2015-04-07,41.61,41.91,41.31,41.53,28536469.0,0.0,1.0,41.61,41.91,41.31,41.53,28536469.0
2015-04-06,40.34,41.78,40.18,41.545,38826210.0,0.0,1.0,40.34,41.78,40.18,41.545,38826210.0
2015-04-02,40.66,40.74,40.12,40.29,37024006.0,0.0,1.0,40.66,40.74,40.12,40.29,37024006.0
2015-04-01,40.6,40.76,40.31,40.7,36614021.0,0.0,1.0,40.6,40.76,40.31,40.7,36614021.0
2015-03-31,40.78,41.03,40.54,40.655,34000480.0,0.0,1.0,40.78,41.03,40.54,40.655,34000480.0
2015-03-30,41.1,41.54,40.91,40.96,34389064.0,0.0,1.0,41.1,41.54,40.91,40.96,34389064.0
2015-03-27,41.12,41.43,40.83,40.97,33629090.0,0.0,1.0,41.12,41.43,40.83,40.97,33629090.0
2015-03-26,41.22,41.61,40.92,41.21,37196618.0,0.0,1.0,41.22,41.61,40.92,41.21,37196618.0
2015-03-25,42.92,42.925,41.44,41.46,42609425.0,0.0,1.0,42.92,42.925,41.44,41.46,42609425.0
2015-03-24,42.78,43.17,42.75,42.9,25317141.0,0.0,1.0,42.78,43.17,42.75,42.9,25317141.0
2015-03-23,42.88,43.13,42.78,42.855,25810469.0,0.0,1.0,42.88,43.13,42.78,42.855,25810469.0
2015-03-20,42.56,42.98,42.49,42.88,67671897.0,0.0,1.0,42.56,42.98,42.49,42.88,67671897.0
2015-03-19,42.26,42.59,42.22,42.285,33457931.0,0.0,1.0,42.26,42.59,42.22,42.285,33457931.0
2015-03-18,41.43,42.83,41.33,42.5,43688764.0,0.0,1.0,41.43,42.83,41.33,42.5,43688764.0
2015-03-17,41.37,41.83,41.15,41.695,31334848.0,0.0,1.0,41.37,41.83,41.15,41.695,31334848.0
2015-03-16,41.47,41.64,41.28,41.53,34664159.0,0.0,1.0,41.47,41.64,41.28,41.53,34664159.0
2015-03-13,40.7,41.47,40.61,41.38,53960401.0,0.0,1.0,40.7,41.47,40.61,41.38,53960401.0
2015-03-12,41.33,41.65,40.86,41.02,59168015.0,0.0,1.0,41.33,41.65,40.86,41.02,59168015.0
2015-03-11,42.31,42.37,41.84,41.98,32215314.0,0.0,1.0,42.31,42.37,41.84,41.98,32215314.0
